lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
212390048,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1318.7582128
212390049,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,22.24266281
212390050,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,12.4881807
212390051,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,43.49002146
212390052,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,444.5801872
212390053,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,14.0448985
212390054,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1087.744669
212390055,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,99.74044556
212390056,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3056.055867
212390057,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2091.33845
212390058,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3182.009492
212390059,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,338.2600731
212390060,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,57.27054855
212390061,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,564.3795435
212390062,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2172.59882023
212390063,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1630.489126
212390064,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,35.88950285
212390065,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,42.09812281
212390066,Petrobras,19,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,60.24877222
212390067,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,233.5263883
212390068,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,673.3386035
212390069,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3154.299087
212390070,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,,,,3,,,209824.775156
212390072,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,138.5157069
212390073,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1134.6524246
212390074,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1342.1413041
212390075,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,4420.82331359
212390076,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,51217.8980074
212390077,Petrobras,25,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3359.194072
212390078,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,561.6378128
212390079,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,80.23477948
212390080,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3.69962588
212390081,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2222.7482859
212390082,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3135.590334
212390083,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3200.4185833
212390084,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,6.335589551
212390085,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,315.11313581
212390086,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4928.215538743
212390087,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1898.811299434
212390088,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4.435999208
212390090,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,156.6791421
212390091,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,55.81958894
212390092,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4220.077205
212390093,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,0.181442786
212390094,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2.378261322
212390095,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,13.056
212390096,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4427.021648
212390097,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,104.6424174
212390098,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,9,55103.05266575
212390099,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,31315.18422
212390100,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,175.8700137
212390101,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1572.884579
212390102,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,9.181409491
212390103,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1615.84206118
212390104,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2539.698271
212390105,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,12.66736448
212390106,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,11,,7815.265616
212390107,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,7.023389875
212390108,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1068.3194257
212390109,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,10829.398048
212390110,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,578.2079174
212390111,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,4288.846485
212390112,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,5344.417043
212390113,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,44.218254059
212390114,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,239.0318112
212390115,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4897.84687947
212390116,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1578.869163
212390117,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,6.534189265
212390118,Petrobras,26,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,83.8881658
212390119,Petrobras,31,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3253.465997
212390120,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,91.24628195
212390121,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,10.466595622
212390122,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,5.460824361
212390123,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,5.914381117
212390124,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1667.65543963
212390125,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,71.69819575
212390126,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,82.36544224
212390127,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,342.9413602
212390128,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,7849.58064612
212390129,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,55.0703782
212390130,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,7.476211085
212390131,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,89.77676733
212390132,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,167.2925933
212390133,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,6.628447735
212390134,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,11,,40269.536659
212390135,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,0.579598091
212390137,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1.858720337
212390138,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1840.403776
212390139,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1373.297687
